1,3,5
2,7,5
2,11,5
2,20,5
2,29,5
2,35,5
4,40,5
5,6,5
5,19,5
5,26,5
5,45,5
6,25,5
6,26,5
6,28,5
6,36,5
6,39,5
6,44,5
7,2,5
7,14,5
7,35,5
8,31,5
8,33,5
9,17,5
10,9,5
10,17,5
11,2,5
12,22,5
12,33,5
12,46,5
17,10,5
18,13,5
19,5,5
19,6,5
19,26,5
19,36,5
19,39,5
19,44,5
19,45,5
20,13,5
20,45,5
22,12,5
22,15,5
22,33,5
22,40,5
23,36,5
25,6,5
26,5,5
26,6,5
26,19,5
26,23,5
26,25,5
26,36,5
26,39,5
26,44,5
26,45,5
27,13,5
27,35,5
28,6,5
31,8,5
32,4,5
32,40,5
33,4,5
33,8,5
33,12,5
33,22,5
33,40,5
34,42,5
36,6,5
36,23,5
36,26,5
36,44,5
36,45,5
38,2,5
38,22,5
38,35,5
39,6,5
39,19,5
39,45,5
40,4,5
40,32,5
40,33,5
41,10,5
44,6,5
44,19,5
45,5,5
45,6,5
45,26,5
45,36,5
46,12,5
